Author	POD
J.M.L. Keuller	
Rijke de Wolf	
J.S. van Veen	
L.H. Slotemaker	
R.A. van Sandick	
Thérèse Hoven	
J.E. Heeres	
Johannes de Hullu	
Tj. Kielstra	
Ludolf Willem Bakhuizen van den Brink	
Ernst Wilhelm Moes	Amsterdam
Frederik Pijper	Rotterdam
W.A. Arriëns	
F.A. van den Heuvel	
J. Baart de la Faille	
J.H.W. Leliman	
W.W. van der Meulen	Lochem
Is. van Dijk	Den Haag
Hotse Brongersma	
R.W.P. de Vries	
L.J.J. Hageraats	
J.C. Vollgraff	Utrecht?
J.C.G. Jonker	
A.P.Th. Eyssell	Den Haag
P.J.F. du Bois	
M.Th. Houtsma	
H.J. Calkoen	
Jacob Domela Nieuwenhuis	
Y.H. Rogge	
Daniel de Swaef	Middelburg
L.J. Sicking	
D.A. van Heyst	
C.H. van Rhijn	
Philip Christiaan Molhuyzen	Kampen
J.C. Jansen	
Alexander Frederik de Savornin Lohman	
A.O. van Kerkwijk	
Willem Draaijer	Leiden
J.P. Lotsy	
S. Cramer	Amsterdam?
H. Rogaar	
E.C. Godée Molsbergen	Den Haag
J.H. Abendanon	Monaco
Jan C. de Vos	
F. van Gheel Gildemeester	
Seerp Gratama	Den Haag
G. Fuldauer	
J. van Kuyk	
S.P. Haak	
A.F.O. Sasse van Ysselt	Interlaken
D.A. van Waalwijk	
Johanna Snellen	Utrecht
G.E.W. van Hille	Wassenaar
E.J. van der Brugh	
G.D.A. Jonckbloet	Nijmegen
R. van der Meulen Rz.	
Th. Morren	Batavia
Hendrik Blink	
Charles René Bakhuizen van den Brink	Den Haag
P. Albers S.J.	
Marinus Willem de Visser	
B.J.F. Varenhorst	
H.J. Romeijn	
Joseph van Wely, O.P.	
F.J. Kruitwagen	Venray
Martinus Beversluis	Dordrecht
E.A.A. van Heekeren	
E. Zuidema	
H.H. Juynboll	
Vincent Loosjes	Amersfoort
Ant. Averkamp	Bussum
Joh. A. Leopold	Groningen
Reinier van der Meulen Rz.	
Jos. Jacobson	
Jan Kalff Jr.	
Frederic Adolph Hoefer	Zeist
Eppe Wiersum	Rotterdam
M.G. Wildeman	
Th.P.H. van Aalst	
C.W.A. van Haersolte van den Doorn	
H.M. van Nes	Leiden
Willem Vogelsang	
Klaas Uilkema	Groningen
L.W.A.M. Lasonder	Den Haag
E.T. Kuiper	
Jan Leendert van Dalen	
J.G.L. Nolst Trenité	
G.F. de Bruyn Kops	Batavia
E.M. Meijers	Leiden
Adriaan Beets	Leiden
A.C.S. de Koe	Noordwijk
E.C. van Leersum	Leersum
H. Colijn	Ilmenau
A.J. Servaas van Rooijen	
Maarten van Rhijn	Bilthoven
Valentijn Hepp	
J.J. van Hille	
A.A. Kok	Amstelhoek
H.D.H. Bosboom	
W.J.M. Mulder	Amsterdam
C.J.K. van Aalst	
Johannes Henricus Scholten	Leiden
W.J.J.C. Bijleveld	
M.A. Evelein	
J.C. van der Loos	
J.W. Bierma	
J.R. Callenbach	
F. van Hoeck	
J.C. Breen	Amsterdam
W. van Schothorst	Den Haag
Albert Eekhof	Oegstgeest
Willem Gerard van der Tak	Den Haag
J.H. Garms jr.	
H.E. Knappert	
Frans Drion	Den Haag
Jacobus Heinsius	Wassenaar
R.W. Zandvoort	Amersfoort
Hendrik Bolkestein	
G. van Hoorn	
J.P. van Lonkhuijzen	
M.H.A. van der Valk	
Jo van Ham	Middelburg
J.S. Bartstra	Haarlem
Dirk Drijver	
Pieter Rink	
J.H. Kern	Leiden
H.T. Damsté	Leiden
A.A. van Rijnbach	Leiden
Edward John Voûte	
S. Sybenga	
D. Plooij	
J.E. Kroon	Leiden
S.W.F. Margadant	Den Haag
Gillis André de la Porte	Den Haag
A. Goslinga	Amsterdam
Johan Christoffel Ramaer	Den Haag
J.C. van Oven	Leiden
Dirk Herderschêe	
L.H.J. Lamberts Hurrelbrinck	Maastricht
J.P. van der Stok	
G.A. Wumkes	Leeuwarden
H.P. Berdenis van Berlekom	De Bilt
P.L. Tack	
A.S. de Blécourt	Den Haag
F.W. Stapel	Den Haag
J.E. Stokvis	Den Haag
M.A. van Andel	Gorinchem
Pieter Fijn van Draat	
Johannes Rahder	
Joh. F. Snelleman	
P.J. de Kanter	Den Haag
V.H. Rutgers	Bochum
Jacobus Henneman	Haarlem
G. Karsten	
F.C. Wieder	Noordwijk
M.E. Houck	Amersfoort
P.J.M. van Gils	Roermond
Caspert van Son	
Augusta Peaux	
J.H. Kuyper	
Jacobus Funke	Den Haag
Marie C. van Zeggelen	Huizen
Adolph Staring	Deventer
Th. van Rheineck Leyssius	Voorburg
J.P. Kleiweg de Zwaan	
J.E. van der Laan	
Etsko Kruisinga	Schiedam
Johannes Berg	
J.J. de Gelder	
Bastiaan Adriaan Pieter van Dam	
J.H. van Lessen	Leiden
A.L. van Beeck	Leiden
Johanna Dorina Hintzen	Rotterdam
Christine Mohrmann	Nijmegen
H.F. Wijnman	
Helbertine Anna Cornelia Beets-Damsté	Leiden
Maria Hartgerink-Koomans	
Henri C.J.A. Mosmans C.ss.R	
Bruno B. Becker	Amsterdam
J.H. Broekman	
A. Brom	
P.W. Kamphuisen	
H.A. van Bakel	
Jo M. Sterck-Proot	
F.W. Grosheide	Amsterdam
David Kouwenaar	Bergen
D.E. Bosselaar	Utrecht
A.T. Vos	Appingedam
Louise Kaiser	Bussum
Adriaan E.H. Swaen	Amsterdam
W.J. Kooiman	
W.E. Boerman	Rotterdam
Cor van der Lugt Melsert	
F.A. Le Poole	Leiden
Jacob Clay	Bilthoven
Henri Mayer	Den Haag
F.J. du Toit Spies	
F.B.J. Kuiper	Zeist
Hendrik Wagenvoort	
Abraham Rutgers van der Loeff	
Gerhard Sevenster	Leiden
M.P. Vrij	Den Haag
Johannes de Zwaan	
F.P. Huygens	
H.J.E. Endepols	Maastricht
J.L. Tadema	
Brocardus Meyer	
D.C. Tinbergen	Den Haag
M.E. Kronenberg	Den Haag
A.C. van Waveren	
S.J. van der Molen	
W.F.J.M. Krul	
Gerard Ras	Haarlem
J.J. Kalma	Leeuwarden
J.J. van Bolhuis	
P.J. Nienaber	Bloemfontein
Arie Mout	Den Haag
H. de Buck	Haren
G.M. de Gelder	
P.H.G. van Gilse	Haarlem
J.W.J. Witsen Elias	Leeuwarden
D.P.M. Graswinckel	Den Haag
C.H. Lambermond	Venlo
H.J.J. Scholtens	Maastricht
J. Barten S.J.	
Willem van der Pluym	Bussum
C.J. Bleeker	Amsterdam
H.E. Buiskool	Leiden
K.J. Riemens	Amsterdam
T.S. Jansma	Amsterdam
P. Polman	Utrecht
Rinske Visscher	Amersfoort
W.R. Juynboll	Voorschoten
A.J. Sormani	
A. Wassenbergh	
Gerrit Dekker	Pretoria
F.W.N. Hugenholtz	
R.A. Kern	
Cunibertus Sloots	Venray
Hendrik Smitskamp	
M.A. Schwartz	Nijmegen
L.L. Hammerich	Hørsholm
Onno Damsté	
S.J.R. de Monchy	Den Haag
G.J. Sirks	
W. Roukens	Maastricht
J.S. Schippers	
A.P. Grové	
A.P. van Schilfgaarde	Arnhem
R.R. Post	Nijmegen
M.E. Kluit	Deventer
H.G. Cannegieter	
Frans Van Coetsem	
Maria Elisabeth Houtzager	
A.C. Bouman	Leiden
Rudolf Mengelberg	Beausoleil (Monaco)
Catharina Ypes	Arnhem
K.H. Miskotte	Voorst
J.M.A.F. Smits van Waesberghe	Amsterdam
T.J. Haarhoff	Kaapstad
G. Kazemier	Den Haag
V.E. Korn	Den Haag
L. Brummel	Den Haag
M.J. Kloeke-van Lessen	
Margrit de Sablonière	
K.H.E. de Jong	Zeist
J.F. Burger	
P.S. du Toit	Stellenbosch
B.A. Vermaseren	
J.C. Winterink	Amsterdam
A.J. Veenendaal sr.	
A.H. van der Weel	Amsterdam
Jan Tjittes Piebenga	Leeuwarden
P.C. Boeren	
F.L.W.M. Buisman-de Savornin Lohman	Zeist
K. Smits	
J.J. Buskes	Amsterdam
Herman Gerrit Schulte Nordholt	
H. Hardenberg	
J.J. Poortman	Den Haag
G.I. Lieftinck	
Johan de Meester jr.	
D.L. Daalder	Emmeloord
S.P.E. Boshoff	Pretoria
Frits Huël	Den Haag
Jan Ploeger	
G.P. van Itterzon	
W.C. Braat	Oegstgeest
G.W. Ovink	Amsterdam
A.J.J. de Witte	Nijmegen
E. Pelinck	
C.E. Pothast-Gimberg	Sneek
Willem Schrickx	
G.S. Nienaber	Pretoria
J.R. de Groot	Katwijk aan Zee
J.H. van den Berg	Gorinchem
H.A. Höweler	Laren
J.C.P. Kats	
Frits Lugt	
P.J.J. Diermanse	Den Haag
Willibrord Lampen	Den Haag
F. van Lennep	
R.L. Plancke	
L.J.F. Wijsenbeek	
M.A. Beek	Amsterdam
Max B. Teipe	
Hendrik Smilde	
K.Ph. Bernet Kempers	Amsterdam
J.J.M. Timmers	
I.Q. van Regteren Altena	
E. Schoenmaeckers	
P. Julius O.F.M. Cap.	
Dirk de Jong	Otterlo
Hans Edinga	Joure
Jo Daan	Deventer
M.A.P. Meilink-Roelofsz	
H.W. Meihuizen	Gorssel
Jean-Marie Gantois	Holke
A. Dirkzwager	
J. Bosch	
H. Draye	
R. Feenstra	Oegstgeest
H.Th. Oostendorp	
Ina Willekes McDonald	Laren
H.M. Mensonides	
W.A. Nolet	Venlo
Annie Versprille	Leiden
D.A. Tamminga	Leeuwarden
H. Entjes	Nieuwleusen
Daam Fockema	Den Haag
R.A.D. Renting	Zuid-Beijerland
J.U. Terpstra	Roden
Pieter Obbema	Leiden
Isabella Henriëtte van Eeghen	Amsterdam
Dina van Berlaer-Hellemans	
Hilda van Assche	Wemmel
G.W. Huygens	Den Haag
L. Mosheuvel	
H.T.J. Miedema	
Herman Balthazar	
J.F. Heijbroek	
W.F. Lichtenauer	Rotterdam
A.F. Mellink	Haren
S.A. Louw	
F.J. Snijman	Stellenbosch
Renaat Merecy	Antwerpen
H. Bonger	Amsterdam
Johan van der Woude	Velp
J.A. Bornewasser	Groesbeek
Horst Gerson	Groningen
Walter Thys	Gent
G.A. van Riemsdijk	
P. Scherft	Middelburg
M.H. Schenkeveld	
W.J. Formsma	Groningen
Anna Jacoba Böeseken	Oranjezicht
Ernst van Heerden	Johannesburg
F.A. Holleman	Breda
Clasina Isings	
H.L.C. Jaffé	
Jan Cartens	
Tjaard W.R. de Haan	Oegstgeest
Kamiel Cooremans	
H.J. Prakke	Roden
Adriaan Verhulst	
B.A. Sijes	Amsterdam
Bernard Kemp	Leuven
B.H. Erné	
Inez van Dullemen	
D.W. Bloemena	Amsterdam
J.Th. de Smidt	
S.B.J. Zilverberg	Amstelveen
T.T. Cloete	Potchefstroom
D. Nauta	Zeist
H. Berkhof	Leiderdorp
Harm Tjalling Waterbolk	
Gerda van Woudenberg	
W.P. Blockmans	
Frans van Isacker	Edegem
F.R.J. Knetsch	Eelde
R.L.J. Bromberg	
Sjeng Tans	Maastricht
R. Breugelmans	Leiden
Margreet Bruijn	
Lyckle de Vries	
J.W. Oerlemans	Poortugaal
Antonie Maria Luyendijk-Elshout	Warmond
W.G. Noordegraaf	
Jan den Tex	Leusden
S.P. Wolfs	
N. Cramer	
W.A. Ornée	Brummen
Helen A. van den Berg-Noë	Bilthoven
H. Hoetink	
José de Mûelenaere	
Oscar de Wit	
H.K. s' Jacob	
Kåre Langvik-Johannessen	
E.J. van den Broecke-de Man	Middelburg
Annie Femmina Dekker	
A. Gruijs	
P.J. Koets	Oegstgeest
Klaas de Vries	
P.P.J. van Caspel	Groningen
W.J. van Hoboken	Amsterdam
Johan Ballegeer	Lissewege
J.G. Bruggeman	Den Haag
Elisabeth Keesing	Den Haag
Caroline Rehorst-de Westenholz	
A.Th. van Deursen	Oegstgeest
Nop Maas	
Bernt Luger	
Rob Tempelaars	
P. J. van Leeuwen	
C. Pama	
Klaas Iwema	
Willem de Blécourt	
C.C. de Bruin	Leiden
Martin Ros	
Ineke Bulte	
S.L. Verheus	Haarlem
F. van der Rhee	
Hendrik van Dijk	
F.C. Fensham	
J.J. Huizinga	
Gerrit Jan Zwier	
Marita Mathijsen	
Frank Ligtvoet	
M. Stapert-Eggen	
L. Strengholt	Apeldoorn
Majorie Bottenheim	Amsterdam
Ares Koopman	
Dick E.H. de Boer	
P.P.V. van Moorsel	
Hans Werkman	
Benno Barnard	
Gerard J. Hooykaas	
Jos Steegstra	
A.E. Kersten	
Ada Deprez	Zwijnaarde
J.E. Bogaers	
E.P. de Booy	
Hans Reeser	Overveen
Anne Wadman	Sneek
Wim Vermeer	
A. Leyns	
Maxim P.A.M. Kerkhof	
Rogi Wieg	Amsterdam
F.P. van Oostrom	
L.J. de Ruiter	
R.H. Pheiffer	
V.F. Vanacker	
Gerrit Valk	
F. van Elmbt	
Jan Brokken	
Willem Frijhoff	
J. Roelevink	
A.J.M. Linmans	
F.A. Brekelmans	Tilburg
Mart Janssonius	Groningen
Willem Wilmink	Enschede
Wim de Bie	
Peter J.A. Nissen	
J.J.M. van Gent	
Hanna Blok	
J.C. Bedaux	
Willem G. van Maanen	
Joke Linders	
H. Duits	
M.G. Buist	Groningen
Johanna J.M. Meijers	
W.R.H. Koops	
Ph.H. Breuker	
S.N. Bakker	
M.C.A. van der Heijden	
Joop van den Berg	
Joost van der Vleuten	
P.B.M. Blaas	
Edwin Rabbie	
Peter van Beek	
Wilhelmina Christina Pieterse	
S. Groenveld	
Wolther Kassies	
Ton Harmsen	
Lieve Joris	
N.F. Streekstra	
Jaap de Moor	
C.G. Santing	
G.H.M. Posthumus Meyjes	Oegstgeest
Ingrid Moerman	
J. Gerritsen	Groningen
Frans Claes	Heverlee
H.J.M. Nellen	
Kees de Bakker	
Auke Jelsma	
K.J. Bostoen	
C. Augustijn	Den Haag
A. de Groot	
Marijke Meijer Drees	
B.P.M. Dongelmans	
Jan-Wouter Zwart	
Ernestine van der Wall	
G.R. Zondergeld	
Willem Mooijman	
A.E.M. Janssen	
Diederik Grit	
Hans Renders	
Jeanne Roos	Nijverdal
Wim J. Simons	Amsterdam
Bart Jan Spruyt	
E.P. Meijering	
Frank Willaert	
Theo Verbeek	
A.M.L. van Wieringen	
G.W.B. Borrie	Eindhoven
R.C.J. van Maanen	
Geert Mak	
Otto S. Lankhorst	
Rob van de Schoor	
A.D.A. Monna	
J. de Groot	
Ann Van Sevenant	
Eric M. Moormann	
Joan Hemels	
J.T. Bremer	
Marten Toonder	Laren
Robert Lemm	
Arthur Japin	
Siegfried Huigen	
Arie-Jan Gelderblom	
Cees Fasseur	Leiden
C. Moeyaert	
Marcus de Schepper	
Th.M. van Leeuwen	
A. Maljaars	
Fred van Leeuwen	
Robert van Amerongen	Bergen
Els Stronks	
Sal Tas	Neuilly
Johan Valkhoff	Amsterdam
J.P.B. Josselin de Jong	
Joseph Campbell	
Louk E. Roest Crollius-van Doorn	
Tjoe-Som Tjan	Jakarta
W. Cahn	
E. Lopes Cardozo	
S. Mok	
R. Hoetink	
A.J.W. Kaas	
J.C. van Broekhuizen	
M. Coutinho	
Hannah van Wieringen	
G.H. Slotemaker de Bruine	Den Haag
Dirk Jorritsma	
Arnold Jan Pieter Tammes	Amsterdam
Max Dendermonde	Sarasota (Florida)
Henri Francois Técoz	
J. in 't Veld	
H.J. Hellema	
H. van Wieringen	
Hans Redeker	
Raden Mas Djojowirono Soenito	
Gerard Reve	Zulte
Henriëtte Mooy	
A.C. Willink	Amsterdam
Til Brugman	Gouda
Emile Gobée	Voorschoten
Joke Moeljono	
Marijn van Dantzig	
E.L. Levie	
Montanus	
S. Davids	
Ramón Gómez de la Serna	
Johannes de Graaf	
A.S. de Leeuw	Auschwitz
L. de Jong	
Jan van Lumey	Den Haag
J.C.M. Kruisinga	
J.J. Poelhekke	Bloemendaal
U. Huber Noodt	
G.A. Watermeyer	
M. Sybr. Koops	
Lilo Linke	
F.R.J. Verhoeven	
Louise Moor	
Harriët Freezer	Utrecht
G. van den Bergh	Oegstgeest
Sjoerd van der Schaaf	Oenkerk
Gerrit Pleiter	
Nicolaas Wilhelmus Posthumus	Bussum
Paul Catz	
J.F. Engers	
H. Vos	
Cornelia Brinkman	
J.M.C. Bouvy	Wassenaar
Fazil Bey	Istanbul
Amr il Kaïs	
N. Krusemeyer-van Iersel	
Ph.C. van der Pant	
Joseph Leftwich	Islington
J.M.E.M.A. Zonnenberg	
Noegroho	
Thomas Mann	Zürich
Norbert Loeser	Amsterdam
Marcel Minnaert	Utrecht
Bart Landheer	Wassenaar
Luuc Kooijmans	
Hieke de Jong	
Pearl S. Buck	Danby, Vermont
W.H. van Dobben	Wageningen
Konstantínos Chatzópoulos	
J.L. Snethlage	
Hendrik de Waard	
Max Brod	
D.C. van der Poel	
Margarita Nelken	Ciudad de México
Libbe van der Wal	Laren
P.J. Stolk	
Pieter Minderhout	
T.H. Thung	
Bernard van Delfshaven	
A. Lemair	
Marten Brouwer	
Matthijs Bokhorst	Kaapstad
Joseph Ismael	
R.J. Forbes	Haarlem
Jan Slagter	Leiden
B. Sluimers	
J. Haak	
Anthon van der Horst	
J.M. van Veen	
C.A. van Peursen	
E. Meyer-Brouwer	
Sk. Muljadi	
Chairil Anwar	
P. Sengodjo	
J.H. Willems	
Albert van Hoogenbemt	Mechelen
H. Nijhoff	
Strátis Myriwílis	
Netty van Kempen	
Hazil	
Hermann Kesten	
Marion Coulon	
Rico Bulthuis	Zutphen
G.M.S. Kranenburg Haan-Schmidt	
J. Landsheer	
Olaf J. de Landell	Hilversum
Arthur Constandse	
Damida Reynders	
J. Buzeman	
E.H.F. van der Lely	
A.F. Coenen	
R. Cointre	
S. de Wolff	
A. van Marle	
Jac. de Graaf	
Jean Leclercq	
Willem Hussem	Den Haag
Asrul Sani	
L.A.J. Torfs	
Coert Poort	
Fr. de Jong Edz.	
Klaas van der Geest	
Andries Sörensen	
Rogier van den Gouden	
J.D.P. Warners	
G.J. Renes	
J. de Boer	
Frits van Deventer	
Johan de Vries	
Rennie Elisabeth Veenstra	
Jan van Zutphen	
Georgette Swaenepoel	
Willem de Geus	
Renee	
J.P. Mazure	Den Haag
Johan Betzema	
S. Kleerekoper	Amsterdam
Pablo Picasso	Mougins
P. Hoekstra	
Jan Fekkes	
F. van Sandwijk	
Guus Vleugel	Amsterdam
Bertien Buyl	
Jórgos Theotokás	
Basuki Gunawan	
Jan Pedroli	
Gila Dotan	
Johan van der Bol	
Cor Stutvoet	Den Haag
Lorenz de Swaan	
W.H.C. Tenhaeff	
Dirk Jan van der Laan	Zwolle
Henk Holtrop	
Christine Meyling	Amstelveen
Sietse van der Meulen	
E. Brongersma	
H. Meyers	
Tone Brulin	
P. Valkenburgh	
Joris Vriamont	Brussel
D.P. Blok	
G. Mannoury	Amsterdam
Ti Woe	
Po Tsjü I	
Dzjen Tse Loeng	
Soendoro Tirtosiwojo	
Anton Jonckbloet	
Wim Kan	
Soedjatmoko	Jogjakarta
C.L. Kruithof	
F. van der Kooy	
Ichiro Ando	
Jan Pluvier	
E. Rijgersberg	
Elizabeth van Stappen	
Insider	
L.F.A. Granberg	
I.F.M. Salim	
L. v.d. Land	
W. Scheffer	
H.A. Tolhoek	
L. Sluimers	
Sake Helder	
A.K. Rottiers	Mortsel
T. Noordenbos-de Klerk	
Albert Kok	
Frans De Bruyn	
Apie Prins	Amsterdam
Herman Uyttersprot	Gent
Herman van Poland	
J.C. Kamerbeek	
Elisabeth Siriks	
P.E.G. van Heyningen	
Tine Leiker-Kooijmans	Bilthoven
Joh. Betzema	
Carlo Schmid	Bad Honnef
Jaap Kruithof	
Leo Peters	
Gabriel Celaya	Madrid
Garsiasol	
U Win Tin	Rangoon
Camille Huysmans	Antwerpen
Luc van den Briele	
Joke Pluvier-de Vries	
T.W.L. Scheltema	
Hugo Maron	
J.A. van der Vlis	
F.W. Michels	
H.P. Plantenga	
Helma Wolf-Catz	Naarden
Hans Andreas Cornelius Roem	
C. Houwaard	
W.C. Feltkamp	
E.F. Tijdens	Maastricht
Loe Hsuun	
Bergman	Den Haag
J.C. van Leur	
Johan van Os	
Swan-Liat Kwee	
Manja Croiset	
J. Bronowski	
Henk M. Beumer	
Rudo Durant	
John den Admirant	
Hans Reddingius	
Ronny van Cleef	Amsterdam
Ellen Warmond	Den Haag
Eugène James	
Friederike Granberg	
P. Hoogenboom	
Henk van Maurik	
A.J. Cnoop Koopmans	
Pszisko Jacobs	Haarlem
J.H.L. Laps	
H. Furstner	
A. Wildeman	
Charles Meeking	
Naoya Shiga	Tokyo
Th. van Tijn	
Maria van der Steen	
C. de Groot	
Germaine Tillion	
Birage Diop	Dakar
Léopold Sédar Senghor	
A.H. Wertheim-Gijse Weenink	Wageningen
Johan Achterhof	
G. van Geffen	
T. Haan	
A.K. Datta	
Paul Citroen	Wassenaar
Gerrit Rietveld	Utrecht
Willem Andriessen	Amsterdam
Paul Groenendaal	
Jacques Dewaele	
Wim Gijsen	
C. Ch. Mout	
Katsumi Tanaka	
Shigeharu Nakanó	
José María de Semprún Gurrea	Rome
Miguel Hernández	Alicante
Blas de Otero	
Ramón Lugris	Ciudad Real
Luis Araquistain	Ginebra
Prosper de Smet	Gent
Emmy Kerkhoff	
S.H. Meijler	
Derk de Vries	
Arnold Jan d' Ailly	Amsterdam
Lieuwe Hornstra	
Zbigniew Ogonowski	
John Drager	
Adri Laan	
Leo Rikmenspoel	Laren
Jan Knappert	Hilversum
N.D. Lammers van Toorenburg	
A. Prins	
L.W.C. Keuchenius	
F.G. Steck	
L.A.J.W. Sloet	Arnhem
Wanda Maya	
Henriëtte Boas	Badhoevedorp
L.C. Biegel	
K.L. Roskam	
L.O. Schuman	
Cor de Groot	
R.C. Winter	
A. Wachter	
D. Elema	Ezinge
C.J. Huizinga	
Cora Vreede - de Stuers	
Jan Janze	
Ingrid Jonker	Kaapstad
Fred van Wijck	
Ank Steenis	
H. van der Ploeg	
Leo Apostel	
Wessel Scheffer	
P. Glazema	
L. Kolakowski	Groot-Brittannië
S.H. Delhaas	
Maria de Groot	
H.G. Surie	
F. Roels	
G.J.P. Cammelbeeck	Vreeland
A. de Roos	
Ben Groeneveld	Amsterdam
J.B. Bakema	
Marcel van Matena	
Oscar Mohr	
B.C. van Houten	
Paul van der Loeff	
Jac. Wolsink-Schouten	
E.J. Spliethoff	
C.W. Rietdijk	
Mark Braet	Brugge
Pandelis Prewelakis	
E.B. Mayer-Swart	
P.M. Croiset	
Eveline van Deth	
Caroline F. Ware	
J. Dhont	
Gerard Heederik	
S. Na'aman	
Anna Muntjewerf	
Margreet Koekebakker	
Reinout Vreijling	Bergen
Inne de Jong	Balk
J.J.P. Oud	Wassenaar
Roger Serras	Sint-Amandsberg
Michele Ondei	
Steven Membrecht	
Heinz Neudecker	
W. de Vries	
Daniël van Ryssel	
W.J. Jong	
A.J. Vermeersch	
D. van der Meulen	
Rafael Alberti	El Puerto de Santa María
Sippora Stibbe	
Clem Schouwenaars	Lubbeek
Marc Andries	
Piet Sterckx	Weert
Lieuwe H. Bouma	Leeuwarden
R. Cordes	
Jozef Eyckmans	
G. Th. Ruttenberg	Utrecht
J. ten Brink	
Jan Vanhaelen	
Ward Ruyslinck	Meise
Nic van Bruggen	Antwerpen
Carla Walschap	
Roger Binnemans	
J. Kreykamp	
Maxim de Winter	
Fedde Schurer	Heerenveen
H. Wouters	
Krine Boelens	
Fem Rutke	Reeuwijk
Inge Tielman	Den Haag
Jeroen Brouwers	
Georges Fukkink	
R.V. Leembruggen	
Clarissa Jacobi	Kaapstad
Loek den Hoef	
Hugo Raes	
D.A.L. Schröder	
G.J.M. van het Reve	Amsterdam
Werner Cranshoff	
Jerzy Holzer	Warschau
Malgorzata Hillar	
Jerzy Sito	Warschau
Jan Balicki	
Tadeusz Rózewicz	
M. van Hulten	
J. P. Schuyf	
Mieczyslaw Jastrun	Warschau
Kazimierz Gromski	
Bob Carlier	
H.Th. Chabot	
J. van Wijk	
Julien Vandiest	
A.J. Koejemans	
J. Dommisse	
H.J. van der Mei	
N. van Hees	
Joop van Tijn	Amsterdam
W. Langeveld	
Roger van de Velde	Antwerpen
N.C. Clegg-Bruinwold Riedel	
Jan Noort	
L.H. van der Tweel	Amsterdam
Th.J. Hooning	
Tsjou Li-po	
J.H. de Haas-Posthuma	
René Dekkers	Antwerpen
Bruce Burton	
Klaas Schipper	
M.J. Broekmeyer	
K. Kuiper	
Bruno Walschap	
Jos Vandeloo	
M. Rácz	
H.H. Kirchheiner	
W. van der Marck	
Alex Bolckmans	
J. van Santen	
Frank Liedel	Antwerpen
G.G. Bauman	
Maarten van Dullemen	
Gérard van Kalmthout	
Wouter Kotte	
René Louis Gysen	Antwerpen
Kazimir Malewitsj	St. Petersburg
Ann Smith	
H. Doedens	Utrecht
A. Schuurman	
S.J. Rutgers	
B.E. Rutgers	
E. Standaert	
H. van Strien	
Jan Messchert van Vollenhove	
Albert Verwey	Noordwijk
Roelof Schuiling	Deventer
Jan Gerrit Talen	Breda
Theo Thijssen	Amsterdam
J.H. Swildens	Amsterdam
K. Veenenbos	
Antonie de Vletter	Haarlem
Ph.J. Simons	
J.J. Woltjer	
J.L. Horsten	
Klaas Poll	
Jacob van der Valk	
G. Engels	
M.R. Dijkman	
J.A. vor der Hake	Zeist
J. Verboven	
Lodewijk Makeblijde	Delft
A.J. de Jong	
J. van Boskoop	
Ezechiël Slijper	Utrecht
M.A. van Weel	
H.A. Westrate	
Enoch Krook	Amsterdam
Gerrit ten Bruggencate Hermz.	Almelo
Joh. Jac. Smith	Kaapstad
E.J. Haslinghuis	
F.P.H. Prick van Wely	Nijmegen
Yvonne Koop	
Aert Schouman	Den Haag
E.J. van Sonsbeek	
R. Wijkman	
C.F. Krijs	
B.M. Noach	
Jos. Schrijnen	Nijmegen
A. van Herk	
D. Haagman	
A.S. Bijl	
E.G. Courrech Staal	
M.H. van de Ven	
Joannes van der Elst	Gent
Th. de Jager	
Jac Heeren	
S.A. Krijn	
W. Govaart	
F. den Eerzamen	Wassenaar
K. Kooiman	Middelburg
Karel Lantermans	
K. Blokhuis	
J. Hoeksma	Amsterdam (?)
P. Koster	
J.J. le Roux	
F.A. Stoett	Nijmegen
K.W. de Groot	
J. Kooistra	
Wobbe de Vries	Groningen
G.E. Opstelten	Haarlem
R. Kaltofen	
J.M. van der Hoogt	
Abraham Kuyper	Den Haag
J. van der Baan	
Erik Wellander	
P.H. Greiner	
D.B. Bosman	Somerset-West
Elisabeth Jongejan	Amsterdam
H.H. Knippenberg	Helmond
E.C. Pienaar	Stellenbosch
L.P.H. Eykman	Den Haag
K.H. de Raaf	
Andries Borgeld	Amsterdam
J.M.G. Evers	
Maria Simon Thomas	Amsterdam
Tj. Sterringa	
G.A. Brands	
G. Beumer	
W. van den Ent	
W.L. Bezema	
Reind Kuitert	
W. Kraak	
Luc Salu	
L. Koch	
Th.B.F. Hoyer	
L.J.J. Olivier	
R. Pennink	
J. van Rijckevorsel	
J.C. van der Does	
A. Kuiper	
A.J. Schneiders	Obdam
J. Hovy	
René van Sint-Jan	Gent
M. Buisman J. Fzn.	Heerde
Jacob Hiegentlich	Amsterdam
W.G.J.A. Jacob	
G.J. Uitman	
F.C. Driessen	Utrecht
F. Jansonius	
Dirk Gerhardus Muller	Den Haag
Marie H. van der Zeyde	
Ulfert Schults jr.	
Roelof Schokker	
Lodewijk Maerevoet	Muiden
Franz Staude	Klosterneuburg
Anton Reichling	Amsterdam
Jan van Dam	Amsterdam
H. van Wichert	
C. Wilkeshuis	Deventer
A.R. Hol	Ingen
L.A. te Winkel	Leiden
Th.H. d' Angremond	
C.L. Thijssen-Schoute	Utrecht
M. Mendel	
D.H. Smit	
Annick De Vylder	
Eugène de Bock	Schoten
T. Langeveld-Bakker	
M.H. de Haan	
G.G. Ellerbroek	
M.M. Prinsen	
P.C. Schoonees	Strand
