Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
A.J. Welschen	1722.3214285714073	0.21334533499915168	0.003210272873194221	4.946549380477173e-06	0.0005350454788657035	0.002675227394328518	0.001626828405101736
M. de Vroede	2030.9238095237376	0.2515684399353411	0.005350454788657036	2.9777492972659902e-05	0.0029427501337613697	0.002407704654895666	0.008861913044376496
Willem Pleyte	1643.4924603174572	0.2088974451968689	0.0018726591760299624	2.5286788399015713e-06	0.0009363295880149812	0.0009363295880149812	0.00028659750366183634
W.U.S. van Lessen Kloeke	1821.8119047618761	0.2250374874297462	0.003611556982343499	1.5636016531844822e-06	0.0020064205457463883	0.0016051364365971105	0.0033416699601759086
Jan Waterink	1655.7785714285365	0.211003284207012	0.001337613697164259	0.0	0.00040128410914927763	0.0009363295880149812	0.00044958115376404626
Arrie van Berkel	1747.2595238095023	0.21631625006876679	0.004815409309791332	7.184893989139232e-06	0.0020064205457463883	0.0028089887640449437	0.0023037583934728424
Marietta Ioannidou	1566.6575396825372	0.1987940522194658	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.00017339697431349656
G.F. van der Ree-Scholtens	1664.8761904761811	0.20689386356887077	0.0030765115034777956	0.0	0.0009363295880149812	0.002140181915462814	0.0011924275578870922
A.H. Blaauw	1715.8710317459968	0.21845913172520603	0.0028089887640449437	0.00011891045701079765	0.0008025682182985553	0.0020064205457463883	0.0006366067035780284
Max Beckmann	1867.116666666615	0.23146984145871136	0.002541466024612092	0.00013745672826634054	0.002407704654895666	0.00013376136971642589	0.001789837743526471
H.E. Greve	2154.302380952311	0.26924281280701795	0.0040128410914927765	2.259118649242154e-06	0.003611556982343499	0.00040128410914927763	0.009403614577164043
J.M. Nuyts	1704.1392857142546	0.2169527817018911	0.0005350454788657035	0.0	0.00026752273943285177	0.00026752273943285177	0.00037907243458558886
Pieter Nieuwint	1490.9388888888957	0.18864270551326504	0.0006688068485821295	4.874623606981146e-07	0.00040128410914927763	0.00026752273943285177	0.000178786127709577
G. Fuldauer	1647.6738095237943	0.20956210277322068	0.00026752273943285177	3.7785636107975804e-08	0.00013376136971642589	0.00013376136971642589	0.00029424093678856873
Reinold Kuipers	1925.6761904761343	0.23698896020775082	0.005751738897806313	5.555520454148814e-06	0.005216693418940609	0.0005350454788657035	0.003430639834627428
Wilfried Adams	1627.6857142856923	0.20561929264778384	0.001203852327447833	8.039484700696928e-08	0.0008025682182985553	0.00040128410914927763	0.000499647271302829
Elly Touwen-Bouwsma	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
J. Wagemans	1431.6103174603513	0.1847274928600411	0.0005350454788657035	0.0	0.00026752273943285177	0.00026752273943285177	3.2037677139093195e-05
A. Kleijn	1948.490476190385	0.24516342679886638	0.003210272873194221	0.00033327043785158874	0.0014713750668806848	0.0017388978063135364	0.0024953738151946617
A.E. Meeussen	1836.4119047618526	0.23027213716997755	0.0016051364365971105	4.2159372914366757e-07	0.0009363295880149812	0.0006688068485821295	0.0022814201401513846
J. Bok	1860.3857142856457	0.23496846119964296	0.001203852327447833	6.838058658687243e-06	0.0009363295880149812	0.00026752273943285177	0.0016353007549976461
Thijs Pollmann	1839.1952380952052	0.2265858394830677	0.011771000535045479	0.00023923822280668712	0.004146602461209203	0.007624398073836276	0.003167419009602685
Bern. Spaepen	1710.9369047618786	0.21452199099189467	0.00682182985553772	0.0	0.0029427501337613697	0.0038790797217763506	0.011214103053616042
Henk Harbers	0.0	0.0	0.0018726591760299624	0.0	0.0	0.0018726591760299624	3.552025893195421e-97
Wilfred Smit	1938.2785714285183	0.23900705857220625	0.006153023006955591	0.0001659793720420754	0.003611556982343499	0.002541466024612092	0.00519317156873981
A.P. Kieft	1809.1738095237472	0.22794508267132846	0.001203852327447833	5.224928506719749e-07	0.0006688068485821295	0.0005350454788657035	0.0013971920549558836
Peter J.A. Nissen	1251.6607142857529	0.16123634450404278	0.005484216158373461	0.0002179552174682741	0.00026752273943285177	0.005216693418940609	6.727732792315853e-06
P.P.V. van Moorsel	0.0	0.0	0.0017388978063135364	0.0	0.0	0.0017388978063135364	3.552025893195421e-97
Tobias van Westrheene Wzn	0.0	0.0	0.0008025682182985553	0.0	0.0	0.0008025682182985553	3.552025893195421e-97
William Blake	2197.0857142856607	0.27064419716033083	0.007089352594970572	0.00018287432926441193	0.006955591225254146	0.00013376136971642589	0.013952673400578375
Huib van Krimpen	1891.1714285713756	0.23504938554293672	0.005082932049224184	0.00010021215410911374	0.0020064205457463883	0.0030765115034777956	0.002928633622249242
Lisa Kuitert	1663.911904761894	0.20753709295732956	0.005216693418940609	2.05404391814225e-05	0.00227394328517924	0.0029427501337613697	0.0013852021106612808
D.E.W. Wolff	1892.4523809523039	0.23852235087254267	0.007356875334403424	0.00011087249139928901	0.00227394328517924	0.005082932049224184	0.0016043129697831024
Carlo (graaf) Sforza	1896.6214285713552	0.23864910800378558	0.0005350454788657035	0.0	0.00026752273943285177	0.00026752273943285177	0.00208216854330434
Henk te Velde	1435.3349206349424	0.18250934333002136	0.0028089887640449437	5.474472876869166e-06	0.00013376136971642589	0.002675227394328518	0.00011317299295130708
Lodewijk van Deyssel	2655.3357142857217	0.32047475584341234	0.045345104333868375	0.0010639813906436258	0.038121990369181374	0.007223113964686998	0.0752020449448305
Abraham Schierbeek	1749.4904761904374	0.22231313620928705	0.0018726591760299624	4.923702386656743e-05	0.00040128410914927763	0.0014713750668806848	0.0007529430335988492
Jan Biezen	1746.8833333332982	0.2175355771785432	0.004146602461209203	1.5755505679983435e-06	0.001203852327447833	0.0029427501337613697	0.0019805558993452716
Robert Lema	1740.1249999999575	0.21999037289730486	0.0006688068485821295	0.0	0.0006688068485821295	0.0	0.001229942247108011
Oskar Katann	1.0	0.00013376136971642589	0.00040128410914927763	1.3694715156727205e-07	0.00013376136971642589	0.00026752273943285177	1.8470534644616195e-95
Sadi de Gorter	1899.7809523809083	0.23379231797862457	0.003611556982343499	1.336590211630375e-05	0.003210272873194221	0.00040128410914927763	0.005923992120666052
H. Wagenvoort	2104.761904761832	0.2608818530008111	0.00454788657035848	1.5195467625699865e-05	0.004414125200642054	0.00013376136971642589	0.0076294249294617525
Leo Speet	1653.5857142856767	0.2114068518875358	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.00039095510669280895
H.J. de Dompierre de Chaufepié	1747.01666666662	0.22262981997887243	0.00040128410914927763	0.0	0.00040128410914927763	0.0	0.0005453712071370514
A.J. Bernet Kempers	1822.9047619047083	0.22926751538895196	0.0008025682182985553	1.5556029322374956e-06	0.0005350454788657035	0.00026752273943285177	0.0018349952448422928
J.P. Moltzer	1564.5746031746028	0.19976648431513833	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.00011999570538258274
M.F. Fresco	1895.409523809491	0.23103680307611235	0.009229534510433386	0.00017112216351253097	0.007089352594970572	0.002140181915462814	0.0067237203159485354
W. Bronzwaer	1942.0571428571047	0.23531811578555442	0.02046548956661316	0.0017243741408686241	0.008560727661851257	0.011904761904761904	0.007269531431940204
L.W. de Bree	1869.242857142801	0.23363751059785073	0.005216693418940609	0.00035044837030457135	0.002140181915462814	0.0030765115034777956	0.0023378964664704026
Edith Werkendam	2073.2119047618103	0.26185277706635907	0.0014713750668806848	0.0	0.0014713750668806848	0.0	0.006135936119266224
Pierre Brachin	2103.171428571383	0.2582765809144807	0.011637239165329051	0.000270691071754183	0.004681647940074906	0.006955591225254146	0.011454586808244925
Rik Sanders	1721.9595238094976	0.2148578959840963	0.006688068485821294	0.0	0.0014713750668806848	0.005216693418940609	0.001604719884836212
Tine Brinkgreve-Wicherink	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
Rita Harder	1144.024206349216	0.14745689078786778	0.00026752273943285177	0.0	0.00013376136971642589	0.00013376136971642589	2.0376856577747827e-06
Bert Kooijman	1588.319047619032	0.2023677954350823	0.0028089887640449437	3.839540531425932e-08	0.00013376136971642589	0.002675227394328518	0.00026871165276451175
B. Ouwerkerk	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
J. Boers	1936.1785714285177	0.23949128851932638	0.0028089887640449437	0.0	0.0028089887640449437	0.0	0.004182242667576229
Antonie de Vletter	0.0	0.0	0.0006688068485821295	0.0	0.0	0.0006688068485821295	3.552025893195421e-97
Joost van der Vleuten	1876.047619047577	0.23293242262320737	0.0113697164258962	0.0002019255054005444	0.0030765115034777956	0.008293204922418406	0.0034428642886340567
Kasper Niehaus	1895.6452380951735	0.23844175732829845	0.0014713750668806848	5.666519371194229e-06	0.0005350454788657035	0.0009363295880149812	0.002552051541060361
