Author	DOD
Kees Ouwens	24 augustus 2004
Nic Brink	
Theo de Boer	
K. Zickhardt	1998
Riekus Waskowsky	14 april 1977
Rudolf Geel	
Hans Gruyters	april 2005
Henri van Praag	3 november 1988
C.J. Dippel	1971
Hein Ruygers	1989
H. Linnemann	
M.G. Plattel	
Aad Nuis	8 november 2007
Monika Warnenska	9 april 2010
J. de Reus	2008
Thierry de Beaucé	
Enno Endt	21 april 2007
Jan van Harten	
Jan van der Vegt	
Abraham Sutzkever	
Kees Simhoffer	20 november 2002
Ben Wolken	1988
H. Ramaer	12 maart 2015
Peter Weibel	
Bea Vianen	6 januari 2019
Theo Stibbe	
E. Land	
R.A. Maandag	
E.M. Barth	
J.S. Henriksson	1993
Tiele Rümke	
Herma Vergouwe	
Rutger Kopland	11 juli 2012
Arnold Spauwen	
Aryiris Chionis	25 december 2011
M. Blijstra	
H.M. Ruitenbeek	
M.C. Brands	12 maart 2018
A.G. van der Spek	
J.A.H.J.S. Bruins Slot	4 april 1972
H. Schaafsma	1988
H. Daudt	18 oktober 2008
Johan Goudsblom	
Loden Vogel	14 april 2011
L.J. Zimmerman	28 april 1998
Jos Ruting	9 maart 1987
Klaus Siegel	
Wilna Burger	
Luk Wenseleers	
J. van der Gaag	7 februari 1988
Nicolás Guillén	
Jacques Vallier	
P. Eldering	
Lucas van der Land	11 november 1984
Alejo Carpentier	24 april 1980
Mia Boxman	
Constance E. van der Maesen	
Heberto Padilla	
R.J.A. van Suchtelen van de Haere	
Louis Ferron	26 augustus 2005
A.L.R. Fernhout	
B. Lipschits-Linnewiel	
Bastiaan Willink	
Hans Knoop	
Thera Coppens	
Wiek Röling	
Huub Oosterhuis	
Wessel te Gussinklo	
Tom van Deel	
Gerard Termorshuizen	
Hans van de Waarsenburg	15 juni 2015
Jules Dister	
Astère Michel Dhondt	
Wim Rouw	
Jane Debrot	
Pieter A.M. Seuren	
S.C. Dik	1 maart 1995
Hendrik Conscience	10 september 1883
Peter Collier	
Orlando Emanuels	
Roel van Duyn	
Oscar Timmers	1 maart 2018
Ho Chi Minh	2 september 1969
Konrad Boehmer	4 oktober 2014
Vasilis Vasilikos	
Kenneth Keniston	
L.L. Coïni	
Gerrit Bakker	17 april 2011
Leo Haring	
Jan Geurt Gaarlandt	
Jacques L. Schmitz	
Robert Paul Flipse	
Louis Andriessen	
Lieuwe Brouwers	
Guy Kilian	
Fred Batten	2 februari 1980
Wilbert Bank	
César Vallejo	
Oswaldo Salazar	
Karen Spalding	
Petronella Everdina Eldering	19 juni 1989
Percy B. Lehning	
J.F. Glastra van Loon	22 oktober 2001
Bertus Dijk	
Nicanor Parra	
Han ten Brummelhuis	
Walter Haesaert	
Kees Fens	14 juni 2008
F. Tichelman	19 juni 2012
J.D. van der Meulen	1998
Judicus Verstegen	
António Jacinto	23 juni 1991
Mário de Andrade	25 februari 1945
Luandino Vieira	
Agostinho Neto	1979
Fernando Costa Andrade	
Godfried Bomans	22 december 1971
Charles Bettelheim	20 juli 2006
Johanna Fortuin	
Willem van Malsen	21 februari 1985
Mark Brusse	
Klaas de Jonge	
Aart J.M. van de Laar	
Go Mandersloot	
W.G. Wolters	
D. van Arkel	29 juni 2010
E. Mandel	1995
Mary McCarthy	1989
Hans Tentije	
G.A. Lindeboom	1986
Silvia W. de Groot	
R. Dobru	17 november 1983
Rodney Russell	
Jan Voorhoeve	30 januari 1983
Ursy M. Lichtveld	
Ch.J. Wooding	
Judith Allard-de Kom	
H.F. de Ziel	3 februari 1975
Pieter Polanen	6 september 1970
Shrinivási	26 januari 2019
A.F. May	
Jo Löffel	25 augustus 2012
Thea Doelwijt	
Paul Marlee	
Jozef Slagveer	9 december 1982
Edgar Cairo	16 november 2000
Harry Kensmil	
R. de Jong	
Gerrit Huizer	1999
Michael Wilson	
Wim Huyskens	
Wouter Donath Tieges	14 mei 1996
Geerten Meijsing	
G.P.F. Buddingh'	8 oktober 2014
Norbert Elias	1 augustus 1990
Anton Korteweg	
Hugo Pos	11 november 2000
Hugo Brandt Corstius	28 februari 2014
P.Th. Hugenholtz	3 mei 1987
P.A. Verburg	1989
Ans van Haersolte	10 november 1991
Lodewijk Prins	1999
Ed. Ebels	
Anneke Jansen	
R. Sierksma	
Kees Winkler	1 april 2004
Cyrille Offermans	
Rob Vermeulen	
Wijnand Steemers	
Ton Anbeek	
Dirk Kroon	
Theo de Jong	
Cas Wouters	
Reinout Bakker	25 maart 1987
A. Ladan	
Piet van Caldenborgh	
Fritz Zondervan	
W.H. van der Linden	
C. van de Haar	
H.J. Vieu-Kuik	
H. de Lange	
O.J. de Jong	14 november 2013
H.F.J.M. van den Eerenbeemt	7 juli 2008
W.M. Zappey	2000
Rob Rentenaar	
W. Burger	
Peter Harper	
Ivan Illich	2 december 2002
C. Schepel	
John H. Schaar	
Sheldon S. Wolin	
Bart van Steenbergen	
Bram van der Lek	
J.J.G. Syatauw	8 februari 2015
A. van 't Laar	
J.Th.M. Palstra	
Hugh P. Gallacher	
C.J. Stigter	
J. Hetterschij	
H.H. ter Balkt	9 maart 2015
H.M.A. Struyker Boudier	1996
Fred Bornstein	
Bouke B. Jagt	
Fons Elders	
Peter Berger	
A.L. Vos	2010
Friedhelm Debus	
Camiel Hamans	
Dolph Kohnstamm	
J.R. Slotemaker de Bruine	1 mei 1941
Matthijs Siegenbeek	26 november 1854
H. Baudet	16 december 1998
C.D. Saal	1986
S.J. Doorman	2 november 2009
J.M.W. van Ussel	1976
J. van Baal	9 augustus 1992
E.V.W. Vercruijsse	1982
Jan Donkers	
Eddy van Vliet	5 oktober 2002
H.J. Verkuyl	
Raymond ten Berge	
Jan W.H. Wentink	
W.E. Krul	
Marianne Vos	
Rob Bognár	
Bert Vanheste	23 februari 2007
Berend Lasseur	
Derek Phillips	
M.C.A. Brongers	
Paul Goodman	1972
Sorin Alexandrescu	
Adrian Pâunescu	
Jacques van Alphen	
Ad Kooyman	
Peter Hofstede	
J.Th. Snijders	1997
Tessel Pollmann	
Hermann H. Frese	
Alvin W. Gouldner	15 december 1980
Hidde van der Ploed	
P. Schumacher	
Hessel Miedema	
Wim Hazeu	
E. van der Starre	23 maart 2004
Armando	1 juli 2018
Jacob Groot	
Samuel de Lange	
Eva Vondeling	
Józef Lewandowski	17 november 2007
Annie Gransch	
Nadjezjda Mandelstam	29 december 1980
Alexander Münninghoff	
Ilja Ehrenburg	31 augustus 1967
I.F. Fedorov	
Bessie Schadee	
Joeri Galanskov	4 november 1972
Esselien 't Hart	
Aleksander Ivanov	
Wim van Dam	
Michail Kalik	
Vikentij Gerasimtsjoek	
Adam Tern	
Jan van Eijk	
Jos J.B. van der Putten	
Franco Ferrarotti	
Guy Desrole	
Irene van Grinsven	
Els de Graaf	
A.P. van Goudoever	
Michel Korzec	10 februari 2018
Nico Wilterdink	
Han de Vries	6 november 2009
Laurens van Krevelen	
Gerbrand Muller	
Hugues C. Pernath	4 juni 1975
Willy Lauwens	1995
C.W. Aakster	
A.J. Dunning	5 oktober 2009
Hilbert Kuik	
P. Hirschler	
Chris Mast	
C.J.B.J. Trimbos	26 april 1988
G.A. Ladee	
J.H. de Haas	10 februari 1985
C.D. Fuchs	
R.A. Basart	25 juni 2019
Marcel van der Linden	
Bert Menco	
Tim Krabbé	
Willem M. Roggeman	
Noam Chomsky	
Robert S. Cohen	
José Cardoso Pires	1998
August Willemsen	29 november 2007
Hans Faverey	8 juli 1990
Anton Haakman	
Francisco Marinho	
Joanna Martinez-Horsman	
Jan Stroop	
Hans Plomp	
Antal Sivirsky	6 februari 1993
Maarten 't Hart	
Boris Tomas	
E.C.P. van Waalwijk van Doorn	
H.R. van Gunsteren	
J.H. Kamstra	9 januari 2008
Anton Blok	
Esteban López	1996
Peter Zonderland	
Cor Blok	
Lidy van Marissing	
Herman Pleij	
H.E. Ruitenberg	
Jak van der Meulen	1998
Jean Améry	17 oktober 1978
P.R. Baehr	29 november 2010
Martin Mooij	12 augustus 2014
Hans Carl Artmann	4 december 2000
Elisaveta Bagrjana	23 maart 1991
Kristien Warmenhoven	
Keorapetse Kgositsile	
Michael Krüger	
Mazisi Kunene	2006
Philip Levine	14 februari 2015
Ruud Löbler	
Czeslaw Milosz	14 augustus 2004
János Pilinszky	1981
Sylvia Bodnár	21 mei 2010
Waldo Rojas	
Sapardi Djoko Damono	
Mongane Wally Serote	
Charles Tomlinson	
Kazuko Shiraisi	
Noriko de Vroomen-Kondo	
Raymond Benders	
Martin Lusse	
P.A. Wackie Eysten	
Gust Gils	11 november 2002
V.S. Naipaul	10 augustus 2018
George Huppert	
Breyten Breytenbach	
Charles Vergeer	
Hans van den Bergh	21 oktober 2011
Paul Kapteyn	
F.B. Hotz	5 december 2000
Rien T. Segers	
Pier Boorsma	
Jack ter Heide	1988
Grahame Lock	
Ton Korver	
M. Fennema	
Margriet Poort	
Elmer Schönberger	
Wiel Kusters	
Jules A. Deelder	
Mieke Westra	
Aline Glastra van Loon	
Christine Brinkgreve	
Alex Korzec	
J.J. Witkam	
Siep Stuurman	
Emil Bentzen	
Arie Gelderblom	22 december 1991
Adriaan van Dis	
Maria van der Moer	
Peter Nijmeijer	9 september 2016
Paul Celan	april 1970
J.W. Niemeijer	25 juli 1937
Jaime Mendizábal	
Frans de Rover	26 november 2018
Magda van Emde Boas	3 maart 2011
Stefan Morawski	2 december 2004
H.L.C. Jaffé	1984
Sjoerd Kuyper	
Hans van Lier	
F.G. Droste	
Pieter de Meijer	
Alex van Gelder	
Peter van Zonneveld	
Fernando Schellen	
A.K. Koekkoek	18 april 2005
C.J.M. Schuyt	
Cees Cruson	
Ton Zwaan	
Philip Ramp	
John Berger	2 januari 2017
Max Arian	
Loek Esmeijer	
Arthur Mitzman	
B.J.S. Hoetjes	
Petrus Adrianus Johannes Bentvelzen	
J.J. van der Werff ten Bosch	31 mei 2012
M.B. ter Borg	
Louis Boon	
August Heyting	2 november 1949
Hans Magnus Enzensberger	
Leo Damen	
R.Th.R. Wentges	
Ampie Coetzee	
Gérard van den Eerenbeemt	15 januari 2011
Leo Fretz	2003
W. van Dort	
Marcel Baudet	
Walter van der Star	
Dick Pels	
Lloyd Haft	
H.J. Smeding	1979
Toon Tellegen	
E.J. Dommering	
Leendert Witvliet	
Th.J. de Jong	
Joyce van Lankeren	
J.N. Swallow	
Margreet Hirs	
Erika Dedinszky	
W. van Drimmelen	
Botto van den Bergh	8 februari 2013
Carlo Ginzburg	
Peter van Gestel	1 maart 2019
Freek Bruinsma	
I. van der Sluis	
J.J. Klinkert	
F. Vos	19 januari 2000
Rudy Kousbroek	4 april 2010
Ango Sakaguchi	1955
W.G. Snellen	
Jan Noordhoek	
Frans Boenders	
E.G. de Poorter	
M.J. de Meijer	
Wim Markus	
Jaap Oostermann	
Rudolf Dekker	
J.H. van Geemert	
Pieter Spierenburg	
Jacques Kruithof	7 maart 2008
J.M.A. Biesheuvel	
Pieter Lukkenaer	1998
Lela Zeckovic	
Ben Cami	15 november 2004
José Boyens	
A.H.G. Rinnooy Kan	
Marcel van Herpen	
H.T. Boonstra	
A.J. Kox	
P.H. Polak	
Constantijn Huygens	26 maart 1687
Ph. de Vries	2001
H.J.M. Bos	
J. Lodewijks	
J.C. Ebbinge Wubben	
Dick van den Bosch	
R.H.J. Egeter van Kuyk	
Federico García Lorca	17 of 18 augustus 1936
Emma Brunt	
J.W. Bezemer	3 oktober 2000
Martin Veltman	11 juni 1995
John Kleinen	
Edzard Dideric	
Remco Ekkers	
Alfred Pijpers	
J. Popken	
Eva Abraham-van der Mark	
Michael Masuch	
Frida Balk-Smit Duyzentkunst	7 februari 2013
Ida van Heteren	
J.M. van der Horst	
Elly de Waard	
Frans H. van Eemeren	
J.H. Maureau	
Ad Teulings	
Frans de Cort	18 januari 1878
G. Dijkink	
J. Beijk	2013
Tsjow Meng-Tiè	
Erik K. de Vries	
Herman ten Kroode	
Hans Sleutelaar	
L.C. Suttorp	8 december 1991
Willem Bijsterbosch	15 januari 2010
Hans Verhagen	
G.J.H. van Gelder	
Sadiq Galal al'Azm	11 december 2016
A.H. de Groot	
R. Kruk	
G.H.A. Juynboll	19 december 2010
J.J.G. Jansen	5 mei 2015
Usama ibn Munqidh	1188
Roel Otten	
Abu 'l-Ala al-Ma'arri	1057
C.G. Brouwer	
F. de Jong	
P.S. van Koningsveld	
L.I. Graf	
R.J. Spruit	
Octavio Paz	1998
Steef Davidson	31 mei 2010
Isaak Kaplanas	10 mei 1988
Jaap Goedegebuure	
R. Kroes	
Anthony Mertens	4 april 2009
W.A.M. de Moor	12 januari 2015
Ethel Portnoy	25 mei 2004
Rabin Gangadin	
Jan Siebelink	
Aleid Truijens	
Jérôme Vervaecke	20ste eeuw
Klaas Ruitenbeek	
Lu Xun	1936
Cita Golterman-van Dijk	15 maart 1990
Peter Reinhart Gleichmann	
Tine Ausma	
Albert Jan Govers	1999
Herman Roodenburg	
E.E.G. Vermeulen	
Philippe Noble	
Pim den Boer	
Margot de Hartog	
Michel Huisman	
Frans W. Saris	
R. Vanderauwera	
Maarten van Rossem	
Jacobus Bos	
Henk Tromp	
M.J. Weggelaar	
Y.S. Brenner	14 december 2010
K. van der Arren	
Lea Dasberg	8 april 2018
Carolijn Visser	
J.E. Ellemers	
E. Braches	
E. van den Boogaart	
Dhiravat na Pomberja	
Pauline Moody	
Maria Bogucka	
Hendrik Henrichs	
Louis Emmerij	
Jaap Goudsmit	
A.B. Lapian	19 juli 2011
Willem Otterspeer	
A.M.J. de Keijser	
Peter van Seters	
Marjolijn Sorbi	
R. Lindeman	
M.K. van der Steeg	
Arie Rip	
Berend Lantink	
Gunther S. Stent	12 juni 2008
Nelleke van Maaren	11 september 2014
W.A. Verloren van Themaat	
Manuel Kneepkens	
Jeroen Henneman	
Rien Goettsch	14 december 2011
Nel Veenboer	
Beate Zilversmidt	
A.J. van der Staay	
Ilja Scholten	
Jan W. Boersma	
L.P.J. Veelenturf	
J.D. Querido	
Herman Franke	14 augustus 2010
Jean-Paul Franssens	19 juni 2003
G.L. Durlacher	2 juli 1996
Herbert van Erkelens	
Ron Hey	
F.L. van Holthoon	
Wim Neetens	1996
Paul Casparie	
Helga Nowotny	
Rien van den Broek	
Christel van Boheemen-Saaf	
Jan Paul Hinrichs	
C.W. Mönnich	28 juli 1994
W. Albeda	6 mei 2014
Hans van de Braak	
Adam Szirmai	
Kees Nijland	
P. Smoor	
Lourina de Voogd	
Ed de Moor	2000
Frank Loog	
Hans Berghuis	27 december 1994
Henk de Velde	
Eva van Sonderen	
Willem G. Weststeijn	
P.J. de Voogd	
G. Groenhuis	
Hans Ester	
Marjan Groenewegen	
A.C. Zijderveld	
Frans Budé	
Douwe Draaisma	
Frans Weitenberg	
Peter Zeeman	
Joseph Brodsky	28 januari 1996
Arthur Langeveld	
Kees Caljé	1993
Reinold Widemann	
Marijke Rijsberman	
Hans Bertens	
Jaap van der Bent	
Rik Planting	
Elisabeth Roudinesco	
R. Overeem	
Tonja van Rijthoven	
Jaap van Heerden	
Maarten Steenmeijer	
Jan Houwink	1907
August Hans den Boef	
Pieter Sijpersma	
Otto van den Muijzenberg	
Nico G. Schulte Nordholt	
R. Menggali	
Elly Touwen-Bouwsma	
Henk Schulte Nordholt	
H.M.J. Maier	
Wil Rouleaux	
Ulrike Weinhold	
Ben de Pater	
Marie-José Heijkant	
Tjalling Bos	
Leander Hanssen	
Raymond Corbey	
Joris Iven	
Adriaan M. van der Hoeven	
Sirkka-Liisa Hahmo	
Vojtech Mastny	
A. Lammers	
Jan Bank	
Herman de Liagre Böhl	
Jan Blokker	6 juli 2010
A.C.M. de Kok	
Elsbeth Etty	
Marga Demmers	
Carme Riera	
Bob de Nijs	
Xavier Fàbregas	1985
Siem Juliard	
Paul van Heck	
Dirk van Bastelaere	
Th. Kuiper-Weijhenke	
Eva Hofman	
P.F.M. Fontaine	27 augustus 2012
W.L. Stokvis	
Evert Sweens	
Freddy de Vree	3 juli 2004
Gerrit Krol	24 november 2013
Carl Friedman	
Rolf Wolfswinkel	
Wim Reilingh	
Hub. Hermans	
Jan Lechner	
H.J. 't Hart	
André Spoor	18 september 2012
Hans Freudenthal	13 oktober 1990
Hans Ree	
S.V. Langeveld	
Jan Tinbergen	9 juni 1994
Beatrijs Ritsema	
Louis J. Mostertman	2007
J.P. de Jong	
Jojada Verrips	
H. Schuttevâer	2003
L. Lafour	
Gerhard Dünnhaupt	
Jan Kuijper	
C.J.G. Holtzappel	
Hans Ras	22 oktober 2003
Henk Flinterman	
Johan B.W. Polak	25 mei 1992
Rob Sijmons	2007
Ph.M. Bosscher	13 september 2011
Kitty Verrips-Roukens	
M.A. Wes	2008
Paula Vermeyden	1 augustus 2005
H.L. Wesseling	18 augustus 2018
H.W. von der Dunk	22 augustus 2018
Frank Kuitenbrouwer	
Flip de Kam	
Drs. P	13 juni 2015
K.L. Poll	14 november 1990
I. Samkalden	1995
José Rentes de Carvalho	
G. Leppers	18de eeuw
Hans Dorrestijn	
H.A.M. Snelders	
Pieter Lakeman	
G.M. van Asperen	22 oktober 1993
J.P. Guépin	21 februari 2006
Hugh Jans	1999
Ch. Enschedé	25 augustus 1919
Ellen Ombre	
Gerrit Komrij	5 juli 2012
Jan van Hoften	
G.A. Wagner	2003
Frans Hüsken	28 april 2010
Wilt Idema	
B. de Gaay Fortman	12 juli 1961
E.P. Wellenstein	27 februari 2016
Jan Juffermans	
Frank Martinus Arion	27 september 2015
J.C. Heesterman	
Hans Calis	
Herman Hertzberger	
Berthe Meijer	10 juli 2012
A. Komen	
Charlotte Mutsaers	
A.M. Hagen	
Anneke Brassinga	
E. T. Woudstra	
Egil Törnqvist	9 maart 2015
Dédé Brouwer	
Stefan Hertmans	
Bart Driessen	
Peter van der Veer	
Herman Tieken	
M.E. 't Hart	1991
Reinder Boverhuis	
Sanjukta Gupta	
William H. McNeill	
Jan Lucassen	
Wout Ultee	
René Bekius	
Fréderique van Cleeff-Hiegentlich	
Annemarie Cottaar	
Frank Bovenkerk	
Aart G. Broek	
Igma van Putte-De Windt	
Gregor Benton	
Gèr Boosten	
J. Weisgerber	8 december 2013
David Minter	
Terrence Doody	
Joris Duytschaever	
Harold Beaver	
Michel Bartosik	1 februari 2008
K. Michel	
Jan Peter Nauta	
Ton Ceelen	
Bram Kempers	
B.G.J. de Graaff	
J.C.H. Blom	
Kees Revier	
Han Foppe	
Joke Dame	
Flora Stiemer	
H.G. van Bueren	21 oktober 2012
Thom Holterman	
Joke Huisman	
Marijke Smalbraak	
Edmund Licher	
Johan Heilbron	
Paul M. Doolan	
Jan H. Mysjkin	
Ben van Melick	
Cok van der Voort	
Dick Molewijk	
B. Zwaal	
Mario Molegraaf	
Marietta Ioannidou	
Hero Hokwerda	
Jan Klees	
Andriëtte M. Stathi-Schoorel	
W.J. Aerts	
Salvador Hertog	15 november 1989
Lodewijk Brunt	
Ton Naaijkens	
Jos van Asperen	
Jan Gielkens	
Paul Marijnis	10 april 2008
André Brink	
J.H. van Dijk	
Guy Posson	
Elisabeth van Elsen	
Rob Delvigne	
Hans Aniba	
Hans Moll	
Herman Koningsveld	
Raymond van den Broeck	
Agnes M. Zwaneveld	
René van Hezewijk	
Philip van der Eijk	
Kitty M. van Leuven-Zwart	
Anneke Neijt	
Jenny Tuin	1997
Jos Perry	
G. van Os	19de eeuw
Cees Koster	
B.J. Asscher	2 juni 2008
Dorie Nielen	
Helen Saelman	
Ines Colijn	
Anne Marie Heemskerk	
Daphne Muller	
Menno Kraan	
Miriam Van hee	
Maarten van Buuren	
Remieg Aerts	
Hubert Smeets	
Tinke Davids	29 oktober 2015
Peter Odell	
Chun-chan Yeh	
Henny Scheepmaker	
Jean-Clarence Lambert	
Tess Visser	
Peter King	3 juli 2017
Marc Galle	13 april 2007
A.J. Goblet (d'Alviella)	5 mei 1873
Hans Hom	
Sitor Situmorang	21 december 2014
Robert P. Swierenga	
Jan Zielonka	
Monika van Paemel	
Jan Stavinoha	
Ágnes Roboz	
Eva Bodor	
Margret Brügmann	2005
Stephen Mennell	
Herman Liebaers	9 november 2010
Geoffrey Douglas Madge	
Mea M. Flothuis	
Monika Triest	
Ernest Zahn	
Ronald Jonkers	
Jan Bakker	
Kester Freriks	
Paul J.A. Frische	4 mei 2004
Frans Kusters	20 november 2012
Boeli van Leeuwen	28 november 2007
Nicolette Smabers	
Jan Versteeg	
Gerrit-Jan Berendse	
Willem Derks	
Salvador Bloemgarten	
H. Schippers	
H. Schröder	
F.G. von der Dunk	
J. van Tooren	1991
Ieme van der Poel	
Manet van Montfrans	
Henk Hillenaar	
Ruud Meijer	
Maria van Daalen	
Hendr. Gerritsen	18 juni 1668
E.M. Beekman	5 november 2008
Jack Vance	26 mei 2013
John Heymans	
Michael O'Loughlin	
Jinke Obbema	
Jozef Deleu	
Roland Mortier	
Mark Schaevers	
Luc Huyse	
Anne Marie Musschoot	
Paul Claes	
Georges Adé	11 oktober 1992
Wim van Rooy	
Michel Oukhow	25 mei 1997
Herman Sabbe	
Geert Bekaert	11 september 2016
Nico Frijda	11 april 2015
C. Schmidt	
Evert van Uitert	
Marius Buning sr.	11 januari 2008
L.K.H. van Beek	
Antoine Bodar	
Marja Brouwers	
Louise O. Fresco	
Jan Kostwinder	27 augustus 2001
Ron Elshout	
Kreek Daey Ouwens	
Mieke Tillema	
Laurens van Schie	
György Spiró	
Dorin Tudoran	
Jan Fontijn	
Rudi Wester	
J.J. Oversteegen	7 juli 1999
Ian Gibson	
Nan Lenders	
Arjen Duinker	
J. Heymans	
Piet de Rooy	
Greetje van den Bergh	
P.H.J.T. Ververgaert	
Willem de Ruiter	
J.H. Brinks	
K. Kolthoff	
Henry Schogt	
Kristien Hemmerechts	
Miel Vanstreels	
Geert Maessen	
Barber van de Pol	
A.D. Leeman	5 augustus 2010
Theodor Duquesnoy	25 juli 1994
Graa Boomsma	
M.J. Trappenburg	
Patricia de Martelaere	4 maart 2009
Guido Eekhaut	
Stefaan van den Bremt	
J.A.A. van Doorn	14 mei 2008
G.C. Molewijk	
C.J.F. Stuldreher	18 januari 2007
Liesbeth Dolk	
Jero Gardenia	
Helena Spanjaard	
Lucas Reijnders	
Koos van Weringh	
Selma Leydesdorff	
Adriaan Venema	31 oktober 1993
Oscar van Weerdenburg	
Wouter Gomperts	
Henk te Velde	
Frank Albers	
Rouke van der Hoek	
Joachim von der Thüsen	
J.W. Onderdelinden	
Paul van der Heijde	
Maarten Doorman	
Eelco Runia	
Job Creyghton	
Antoine A.R. de Kom	
Riet de Jong-Goossens	
Karin van Lierop	
C.P. Bakker	
Joris Pintor	
Georgine Sanders	22 december 2015
Marc Schreurs	
Jan Timman	
H.H. Kubbinga	
Mark van Andel	
Lieneke Frerichs	
Mary G. Kemperink	
Anton van Wilderode	15 juni 1998
Umberto Eco	19 februari 2016
Henny Vlot	
A. van Dantzig	8 november 2005
J. Mannoury	29 maart 1895
Maarten van der Wee	1989
Niek Muller	
Ineke van Kessel	
A.L. Schneiders	
Wina Born	6 augustus 2001
Jan Mulder	
G.L. van Lennep	
Yvonne Kroonenberg	
Cisca Dresselhuys	
Ch.J. Enschedé	23 juli 2000
Harry G.M. Prick	14 september 2006
Huib van Krimpen	2002
Gerardjan Rijnders	
Max van Rooy	
Hans Maarten van den Brink	
Ben Bos	25 augustus 2006
Gerard de Vries	
Walter van den Broeck	
S.F. Baekers	
Agnes Verbiest	
Alex van Schooten	
Gie van den Berghe	
Michiel Mastenbroek	
P.J. Buijnsters	
Th.M. Scholten	2005
Henk Harbers	
Jeroen Boomgaard	
Andries Sarlemijn	1998
Michiel van Kempen	
Guido van Heulendonk	
Jeroen J.H. Dekker	
Willem van den Berg	16 augustus 2017
Jan Brands	
Joël Cahen	
Ernst van Alphen	
Ria van den Brandt	
Stephan Sanders	
Hugo Verdaasdonk	9 oktober 2007
Christa Schuenke	
Maruschka Romijn	
Thomas Rosenlöcher	
Christine Delhaye	
Rudi Laermans	
Koen Dille	
Rik Lina	
Saskia Poldervaart	
Jan Bervoets	
Andries Querido	2001
W.S. Huberts	
Lambert Lambertz	
Richard Todd	
Winnie Todd-Kooy	
Bert Wartena	
Marc Adang	
Tjebbe van Tijen	
Jean A. Schalekamp	29 september 2015
M.J.P.M. Weijtens	
Olga Krijtová	7 november 2013
Zofia Klimaszewska	26 januari 2007
René A. Römer	2003
C.E. Dip	2006
Luc Alofs	
Alex Reinders	
Gladys do Rego-Kuster	
Carel de Haseth	
Jules de Palm	30 september 2013
Henry Habibe	
Walter J.M. Palm	
Elis Juliana	
Lasana M. Sekou	
Wim Rutgers	
Jos de Roo	
